CONDITION,COUNT
Stomatitis,1364
Cushing's syndrome,100
Chronic myeloid leukaemia,85
Post herpetic neuralgia,45
Colitis microscopic,143
Protein-losing gastroenteropathy,11
Wrong technique in product usage process,5034
Binge eating,13
Body height decreased,377
Cerebral cyst,15
Facial paralysis,335
Poor quality product administered,357
Therapeutic product effect decreased,2283
Injection site warmth,259
Plantar fasciitis,102
Synovial cyst,140
Endotracheal intubation complication,12
Therapeutic product effect prolonged,37
Injury associated with device,303
Cystocele,13
Osteopenia,250
Tinnitus,981
Blood calcium decreased,274
Blood magnesium decreased,171
Contusion,2113
Injection site haemorrhage,1042
Injection site mass,945
Ligament injury,28
Lipoma,61
Menstrual disorder,149
Migraine,2251
Movement disorder,741
Myopathy,196
Oral herpes,524
Pancreatic disorder,86
Peripheral nerve injury,16
Pharyngitis,378
Sinus disorder,493
Sneezing,526
Vitamin B complex deficiency,12
Arteriovenous fistula,13
Lymphocele,68
Bone loss,116
Dry mouth,1520
Feeling cold,628
Feeling jittery,354
Finger deformity,128
Psychomotor hyperactivity,301
Sinus headache,107
Therapeutic response shortened,593
Atrioventricular block,160
Expired product administered,909
Glycosylated haemoglobin increased,636
Inability to afford medication,188
Product storage error,1386
Epilepsy,616
Premature baby,608
Umbilical cord short,1
Gastrointestinal inflammation,180
Gastrointestinal wall thinning,1
Intestinal stenosis,94
Post procedural complication,364
Suture related complication,14
Arteriosclerosis,162
Cachexia,145
Coronary artery occlusion,225
Diabetic coma,33
Muscle rigidity,264
Myocardial infarction,2138
Pancreatitis,875
Troponin increased,152
Palliative care,23
Chronic sinusitis,116
Ear congestion,60
Ear infection,759
Influenza like illness,1722
Lower respiratory tract congestion,89
Rotator cuff syndrome,293
Sluggishness,260
Malabsorption,94
Pancreatic carcinoma,277
Dementia Alzheimer's type,174
Respiratory disorder,703
Mucosal inflammation,583
Drug reaction with eosinophilia and systemic symptoms,762
Exposure during pregnancy,1405
Crohn's disease,1215
Blood potassium decreased,644
Burning mouth syndrome,16
Computerised tomogram abnormal,31
Cyst,335
Gastrointestinal tract irritation,34
Hypoaesthesia oral,289
Impaired gastric emptying,161
Mouth breathing,7
Multiple sclerosis,1135
Musculoskeletal disorder,465
Nasal septum deviation,45
Oophorectomy,18
Panic attack,718
Rectal prolapse,28
Sensory loss,191
Social avoidant behaviour,94
Throat irritation,876
Tongue discomfort,128
Carcinoid tumour of the stomach,3
Hypoglycaemia,957
Recurrent cancer,102
Taste disorder,693
Transient global amnesia,14
Tremor,3296
Anxiety disorder due to a general medical condition,1
Apathy,279
Conjunctivitis,460
Eye pruritus,641
Laziness,34
Mental disorder,725
Ocular hyperaemia,858
Aspiration,208
Clostridium difficile colitis,276
Coeliac disease,216
Compression fracture,112
Deep vein thrombosis,972
Diverticulitis,720
Haemorrhoids,406
Herpes simplex,109
Hiccups,153
Ileal ulcer,18
Inflammatory bowel disease,98
Oesophageal candidiasis,104
Ophthalmic herpes simplex,7
Osteoporosis,882
Overgrowth bacterial,8
Pancreatitis acute,455
Peritoneal disorder,11
Pneumatosis,12
Pneumoperitoneum,39
Renal disorder,1256
Sinus tachycardia,290
Syncope,2339
Transaminases increased,542
Chest X-ray abnormal,59
Dysarthria,713
Heart rate irregular,599
Renal mass,80
Psoriatic arthropathy,825
Staphylococcal infection,598
Sensation of foreign body,140
Back disorder,421
Device breakage,508
Injection site injury,71
Nerve compression,224
Spinal disorder,245
Flatulence,1101
Gastritis,510
Hepatic function abnormal,788
Atrioventricular block second degree,59
Alanine aminotransferase increased,1210
Ejection fraction decreased,363
Hypokinesia,436
Bradycardia,1031
Wrong product administered,270
Breast cancer,867
Injury,1038
Sports injury,13
Hydrocephalus,115
Eating disorder,507
Skin exfoliation,3843
Tenderness,261
Decreased activity,182
Hair texture abnormal,1138
Impaired driving ability,177
Onychoclasis,176
Clostridium difficile infection,610
Localised infection,612
Vaccination complication,8
Vascular rupture,46
Body temperature increased,491
C-reactive protein increased,1024
Hyperthermia,193
Meningism,12
Bedridden,273
Cardiac failure chronic,99
Cardiac failure congestive,1188
Fluid overload,391
Hypotonia,192
Pulmonary hypertension,536
Disability assessment scale score increased,25
Eye haemorrhage,286
Foot deformity,332
Limb mass,100
Rhinitis,223
Ulcer,388
Arterial occlusive disease,151
Gastrointestinal injury,28
Heat stroke,27
Hepatic pain,107
Hot flush,1415
Infarction,133
Ingrowing nail,61
Pancreatic enzymes increased,25
Abortion of ectopic pregnancy,5
Allergy to metals,17
Device ineffective,21
Dysmenorrhoea,283
Dyspareunia,56
Ectopic pregnancy with contraceptive device,52
Fallopian tube cyst,4
Genital haemorrhage,281
Pelvic pain,277
Vaginal discharge,231
Vulvovaginal pain,136
Endocarditis,121
Nonspecific reaction,119
Grip strength decreased,165
Haemoptysis,743
Panic disorder,75
Rheumatoid lung,24
Testicular mass,9
Retinal detachment,174
Cardiac arrest,1268
Central nervous system lesion,338
Neurological decompensation,51
Type 2 diabetes mellitus,411
Throat cancer,46
Brain malformation,7
Congenital anomaly,68
Heart disease congenital,55
Newborn persistent pulmonary hypertension,21
Liver function test increased,767
Cardio-respiratory arrest,565
Hepatic failure,614
Rash erythematous,1105
Rash pustular,234
Retinal disorder,56
Retinal oedema,29
Fear,342
Infantile spasms,14
Bladder disorder,204
Cyclic vomiting syndrome,12
Deafness unilateral,118
Amniotic fluid volume decreased,10
Granulomatosis with polyangiitis,28
Interstitial lung disease,1283
Premature delivery,409
Breech presentation,24
Foetal growth restriction,195
Low birth weight baby,220
Drug ineffective for unapproved indication,1333
Rectal abscess,32
Large intestine perforation,151
Lung adenocarcinoma,71
Device occlusion,184
Respiratory arrest,253
Spinal cord compression,106
Tracheostomy,37
Neck injury,62
Abnormal weight gain,1753
Gynaecomastia,2950
Hyperprolactinaemia,511
Galactorrhoea,530
Amniotic fluid index abnormal,1
Device expulsion,1332
Brachial plexus injury,3
Inadequate analgesia,86
Procedural pain,692
Pulmonary air leakage,1
Corneal perforation,11
Eye infection,291
Infected skin ulcer,45
Infusion site erythema,156
Infusion site swelling,107
International normalised ratio decreased,66
Lethargy,1031
Neutrophil count decreased,834
Retching,393
Weight abnormal,54
Genital swelling,14
Stevens-Johnson syndrome,368
Neuroleptic malignant syndrome,205
Adrenal disorder,52
Bronchospasm,347
Joint stiffness,625
Creatinine renal clearance decreased,51
Intentional self-injury,612
Skin infection,288
Dyspraxia,16
Foetal anticonvulsant syndrome,9
General physical condition abnormal,149
Hip deformity,11
Learning disorder,24
Motor dysfunction,255
Strabismus,43
Tonsillectomy,23
Cardiac failure,1844
Hallucination,1471
Serotonin syndrome,376
Skin burning sensation,5700
Eustachian tube obstruction,9
Otorrhoea,58
Pharyngeal exudate,1
Pleurisy,139
Tympanic membrane perforation,53
Dermatitis contact,241
Occupational exposure to product,235
Therapeutic product cross-reactivity,47
Cerumen impaction,16
Chronotropic incompetence,3
Coordination abnormal,221
Dysaesthesia,78
Haemarthrosis,160
Mitral valve incompetence,170
Muscle spasticity,243
Non-cardiac chest pain,58
Oral candidiasis,278
Pericardial effusion,572
Sensory disturbance,280
Sinus bradycardia,171
Sinus congestion,302
Supraventricular tachycardia,169
Tendonitis,351
Tricuspid valve incompetence,165
Vascular skin disorder,3
Accidental overdose,560
Catheter placement,76
Cystitis interstitial,51
Defaecation disorder,29
Dyschezia,96
Dysuria,828
Face oedema,359
Faeces hard,87
Faeces soft,191
Gastrointestinal hypermotility,14
Intentional underdose,147
Micturition disorder,75
Micturition urgency,269
Pollakiuria,916
Prescribed underdose,668
Therapeutic response increased,11
Urine output decreased,162
Abdominal fat apron,4
Bone density decreased,392
Bursitis,278
Dental caries,180
Scoliosis,139
Tooth impacted,11
Vulvovaginal discomfort,109
Bladder dysfunction,28
Functional gastrointestinal disorder,95
Impaired work ability,421
Injection site pruritus,924
Spondylitis,95
Head discomfort,432
Superinfection,21
Vitreous detachment,39
Accident,296
Dependence on oxygen therapy,22
Lower limb fracture,394
Bloody discharge,24
Skin ulcer,669
Bruxism,118
Muscle contractions involuntary,86
Urinary retention,706
Hepatitis C virus test positive,9
Immunosuppression,173
Onychomycosis,84
Oral surgery,48
Psoriasis,2975
Surgery,1044
Varicose vein,115
Coronary artery disease,324
Pulmonary congestion,327
Cardiac stress test abnormal,12
Performance status decreased,84
Temperature intolerance,236
Neck mass,76
Ankle fracture,352
Fracture,486
Nasal cavity cancer,11
Peripheral artery occlusion,57
Therapeutic response decreased,1213
Breast haematoma,3
Epigastric discomfort,98
Infusion site bruising,32
Infusion site scar,6
Pre-eclampsia,101
Protein urine,25
Skin ulcer haemorrhage,4
Mental impairment,619
Complications of transplanted kidney,51
Hyperkalaemia,819
Intra-abdominal haematoma,43
Kidney fibrosis,40
Renal tubular atrophy,28
Viral infection,947
Wound complication,64
Contraindicated product administered,1966
Drug resistance,683
Fine motor skill dysfunction,105
Joint injury,475
Menopause,37
Blindness unilateral,302
Arthritis infective,108
Blood pressure systolic decreased,110
Discharge,58
Gingival disorder,78
Hand deformity,203
Scratch,223
Blood disorder,192
Frustration tolerance decreased,245
Injection site hypoaesthesia,35
Injection site urticaria,332
Body height increased,11
Chikungunya virus infection,15
Limb asymmetry,16
Muscle strain,217
Psychiatric symptom,146
Acidosis,126
Ascites,680
Atrioventricular block complete,145
Blood lactate dehydrogenase increased,300
Blood potassium increased,377
Blood urea increased,328
Blood uric acid increased,92
Breath sounds abnormal,149
Cardiovascular insufficiency,34
Hypertensive heart disease,26
Leukocytosis,351
Oesophageal varices haemorrhage,58
Portal vein flow decreased,2
Pupils unequal,24
Red blood cell count decreased,678
Renal function test abnormal,109
Stab wound,11
Waist circumference increased,28
Atrial flutter,187
Activated partial thromboplastin time prolonged,65
Amenorrhoea,262
Cerebral ischaemia,93
Cholangitis,159
Device related infection,345
Gastrointestinal perforation,96
Hypermagnesaemia,9
Hypernatraemia,89
Ileus,219
Impaired healing,628
Infected fistula,18
Inflammatory marker increased,148
Ligament rupture,113
Metastasis,134
Myocardial ischaemia,126
Neurotoxicity,373
Subileus,59
Tumour perforation,6
VIth nerve paralysis,22
Dry eye,839
Drug withdrawal syndrome,683
Lip swelling,642
Swollen tongue,571
Diabetic ketoacidosis,553
Urine analysis abnormal,86
Vitreous haemorrhage,51
Altered state of consciousness,511
Bone marrow failure,941
Pulmonary tuberculosis,112
Arthroscopic surgery,2
Foot operation,101
Huntington's disease,4
Adverse reaction,298
Meningitis,133
Irritability,979
Food craving,75
Febrile infection,35
Vascular device infection,177
Septic shock,928
Full blood count decreased,535
Gastrointestinal haemorrhage,3268
Iron deficiency anaemia,219
Urinary tract infection enterococcal,18
Abnormal dreams,455
Application site reaction,79
Blindness transient,137
Caesarean section,123
Complication of pregnancy,10
Disseminated intravascular coagulation,290
Eclampsia,10
Gestational diabetes,112
Haemorrhage in pregnancy,32
Hypothyroidism,616
Oligohydramnios,33
Parvovirus infection,15
Photopsia,121
Pleural effusion,1393
Polyhydramnios,34
Postpartum haemorrhage,20
Premature labour,85
Premature rupture of membranes,47
Premature separation of placenta,37
Pyelonephritis,232
Stillbirth,90
Symphysiolysis,4
Type 1 diabetes mellitus,133
Ultrasound Doppler abnormal,10
Uterine contractions abnormal,6
Vaginal infection,122
Vasodilatation,58
Vulvovaginal candidiasis,27
Cast application,6
Head injury,682
Transient ischaemic attack,589
Drug withdrawal syndrome neonatal,71
Trismus,89
Colectomy,101
Multiple organ dysfunction syndrome,825
Pharyngeal hypoaesthesia,11
Logorrhoea,58
Tearfulness,70
Asphyxia,232
Cor pulmonale,12
Pulmonary oedema,919
Skin abrasion,133
Skin fragility,470
Skin laceration,431
Tachypnoea,260
Breast inflammation,4
Incorrect drug administration rate,69
Alanine aminotransferase abnormal,47
Aspartate aminotransferase abnormal,21
Drug-induced liver injury,730
Lipodystrophy acquired,71
Aortic valve disease,18
Mouth ulceration,492
Paranasal sinus hypersecretion,70
Tongue ulceration,60
Tuberculosis,273
Systemic inflammatory response syndrome,98
Cardiomyopathy,308
Macrocytosis,31
Thirst,313
Emotional disorder,882
Tonsillitis,157
Abdominal hernia,135
Dengue fever,74
Lymphoma,279
Brain neoplasm,178
Mass,475
Oxygen consumption decreased,25
Pancreatic neoplasm,26
Schwannoma,9
Second primary malignancy,293
Choking,422
Posture abnormal,75
Pulmonary thrombosis,258
Secondary progressive multiple sclerosis,42
Suicide attempt,1034
Suicide threat,10
Wheelchair user,102
Madarosis,1219
Skin atrophy,145
Skin mass,162
Delirium,807
Immobile,94
Incontinence,244
Peripheral coldness,313
Progressive multiple sclerosis,23
Affective disorder,204
Blood glucose fluctuation,225
Bowel movement irregularity,187
Obstruction gastric,24
Skin swelling,377
Small intestinal obstruction,265
Shock,416
Aortic stenosis,60
Aortic valve stenosis,38
Campylobacter infection,18
Carpal tunnel syndrome,326
Chondrocalcinosis pyrophosphate,28
Cushingoid,112
Dupuytren's contracture,15
Skin tightness,147
Stoma site erythema,110
Systemic lupus erythematosus rash,17
Tooth injury,51
Substance abuse,280
Infective pulmonary exacerbation of cystic fibrosis,407
Aspartate aminotransferase increased,979
Blood creatine phosphokinase increased,471
Blood lactic acid increased,110
Circulatory collapse,339
Compartment syndrome,41
Femoral artery dissection,2
Intentional overdose,1383
Nodal rhythm,24
PCO2 increased,12
PO2 decreased,25
Pulse absent,59
Sinoatrial block,8
Ventricular hypokinesia,61
Coma scale abnormal,88
Escherichia infection,163
Generalised erythema,228
Blood immunoglobulin E increased,77
Breast cyst,47
Precancerous cells present,46
Precancerous skin lesion,49
Pulmonary function test decreased,149
Spirometry abnormal,12
Aphonia,352
Eczema,802
Motion sickness,39
Oesophageal pain,70
Oral discomfort,253
Photophobia,400
Poor venous access,204
Tooth fracture,237
Eye movement disorder,126
Nightmare,728
Renal neoplasm,67
Visual field defect,126
Laryngitis,262
Mouth haemorrhage,178
Oral infection,93
Tooth infection,314
White blood cell count increased,850
Anorectal disorder,37
Asterixis,35
Ataxia,269
Autonomic nervous system imbalance,75
Cerebellar ataxia,31
Cerebellar atrophy,53
Cerebral hypoperfusion,9
HIV-associated neurocognitive disorder,5
Hypotonic urinary bladder,1
Multiple system atrophy,12
Nystagmus,98
Orthostatic hypotension,444
Postural reflex impairment,2
Rales,167
Hyperkeratosis,118
Joint noise,84
Aortic valve sclerosis,8
Carbon monoxide diffusing capacity decreased,22
